"","Files","Name","LLcode","Lat","NS","dex","LatMin","LatMax","LonMin","LonMax"
"360","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N14_40_2010LC030/N14_40_2010LC030_ATS.TIF","N14_40_2010LC030_ATS.TIF","N14_40",40,"N",14,40,45,-102,-96
"361","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N14_45_2010LC030/N14_45_2010LC030_ATS.TIF","N14_45_2010LC030_ATS.TIF","N14_45",45,"N",14,45,50,-102,-96
"362","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N14_50_2010LC030/N14_50_2010LC030_ATS.TIF","N14_50_2010LC030_ATS.TIF","N14_50",50,"N",14,50,55,-102,-96
"363","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N14_55_2010LC030/N14_55_2010LC030_ATS.TIF","N14_55_2010LC030_ATS.TIF","N14_55",55,"N",14,55,60,-102,-96
"364","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N15_10_2010LC030/N15_10_2010LC030_ATS.TIF","N15_10_2010LC030_ATS.TIF","N15_10",10,"N",15,10,15,-96,-90
"365","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N15_15_2010LC030/N15_15_2010LC030_ATS.TIF","N15_15_2010LC030_ATS.TIF","N15_15",15,"N",15,15,20,-96,-90
"366","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N15_20_2010LC030/N15_20_2010LC030_ATS.TIF","N15_20_2010LC030_ATS.TIF","N15_20",20,"N",15,20,25,-96,-90
"367","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N15_25_2010LC030/N15_25_2010LC030_ATS.TIF","N15_25_2010LC030_ATS.TIF","N15_25",25,"N",15,25,30,-96,-90
"368","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N15_30_2010LC030/N15_30_2010LC030_ATS.TIF","N15_30_2010LC030_ATS.TIF","N15_30",30,"N",15,30,35,-96,-90
"369","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N15_35_2010LC030/N15_35_2010LC030_ATS.TIF","N15_35_2010LC030_ATS.TIF","N15_35",35,"N",15,35,40,-96,-90
"370","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N15_40_2010LC030/N15_40_2010LC030_ATS.TIF","N15_40_2010LC030_ATS.TIF","N15_40",40,"N",15,40,45,-96,-90
"371","G:\BerkeleyEarthFunctions\Data\GlobeLand30_ATS2010_2/GlobeLand30_ATS2010_2/N15_45_2010LC030/N15_45_2010LC030_ATS.TIF","N15_45_2010LC030_ATS.TIF","N15_45",45,"N",15,45,50,-96,-90
